0,0,0,1
1,1,1,1
2,0,1,0
3,0,0,0
4,0,1,1
5,0,0,0
6,0,0,1
7,1,1,0
8,0,0,1
9,0,0,1
10,0,0,0
11,0,0,0
12,1,0,0
13,0,0,0
14,0,0,1
15,1,1,0
16,0,1,1
17,1,0,0
18,1,1,0
19,1,0,0
20,1,0,0
21,0,0,1
22,0,0,1
23,1,1,1
24,1,1,1
25,0,0,1
26,1,0,0
27,1,0,0
28,0,0,0
29,1,1,1
30,0,0,1
31,0,0,0
32,0,0,0
33,0,1,1
34,0,0,0
35,0,0,1
36,1,0,0
37,1,0,1
38,0,0,0
39,0,1,0
40,0,1,1
41,1,1,0
42,1,1,0
43,1,1,0
44,1,1,1
45,0,0,1
46,1,0,0
47,0,0,1
48,1,1,0
49,1,0,1
50,1,1,1
51,1,1,0
52,0,0,1
53,0,0,1
54,1,1,0
55,0,0,0
56,0,0,1
57,0,0,1
58,0,1,1
59,0,1,1
60,1,1,0
61,0,0,1
62,1,1,0
63,0,0,0
64,1,1,0
65,0,0,1
66,1,1,0
67,0,0,1
68,0,0,1
69,1,0,1
70,0,0,0
71,0,0,0
72,0,0,1
73,1,1,1
74,1,1,0
75,1,1,0
76,1,1,0
77,1,0,0
78,0,0,1
79,0,0,1
80,1,0,0
81,0,1,1
82,1,0,0
83,1,1,0
84,1,1,0
85,0,1,1
86,0,1,0
87,1,0,1
88,0,0,0
89,1,1,0
90,0,0,0
91,0,0,1
92,1,1,0
93,1,1,1
94,0,1,1
95,1,1,1
96,1,1,1
97,1,1,0
98,0,0,1
99,0,0,1
100,1,0,0
101,0,0,1
102,1,1,0
103,0,0,1
104,0,0,1
105,1,1,0
106,1,0,0
107,1,1,0
108,1,1,0
109,1,1,0
110,1,1,0
111,1,1,0
112,1,1,0
113,1,1,0
114,0,0,1
115,0,0,1
116,1,1,0
117,1,1,0
118,0,1,1
119,1,1,0
120,0,0,1
121,1,1,1
122,0,1,1
123,0,1,1
124,0,0,1
125,1,1,1
126,0,0,1
127,1,0,1
128,1,1,0
129,0,1,1
130,1,1,0
131,0,1,1
132,0,1,0
133,1,1,1
134,0,0,1
135,0,1,0
136,1,1,1
137,1,0,0
138,1,1,0
139,1,1,0
140,1,1,0
141,0,1,0
142,0,0,1
143,0,0,1
144,0,0,1
145,0,0,0
146,1,1,1
147,0,1,0
148,1,1,1
149,0,1,0
150,0,0,1
151,0,1,1
152,1,0,0
153,0,1,0
154,0,0,1
155,1,0,0
156,0,0,1
157,1,0,0
158,1,0,1
